subject,item,mode,result
Subject_1,Badetag,_mp_1.0,0
Subject_1,Badetag,_mp_1.5,0
Subject_1,Badetag,_mp_2.0,0
Subject_1,Bewirken,_mp_1.0,0
Subject_1,Bewirken,_mp_1.5,1
Subject_1,Bewirken,_mp_2.0,0
Subject_1,Butterweich,_mp_1.0,1
Subject_1,Butterweich,_mp_1.5,1
Subject_1,Butterweich,_mp_2.0,0
Subject_1,Giraffe,_mp_1.0,1
Subject_1,Giraffe,_mp_1.5,1
Subject_1,Giraffe,_mp_2.0,0
Subject_1,Kakadu,_mp_1.0,1
Subject_1,Kakadu,_mp_1.5,1
Subject_1,Kakadu,_mp_2.0,1
Subject_1,Karotte,_mp_1.0,0
Subject_1,Karotte,_mp_1.5,1
Subject_1,Karotte,_mp_2.0,0
Subject_1,Kassette,_mp_1.0,1
Subject_1,Kassette,_mp_1.5,1
Subject_1,Kassette,_mp_2.0,0
Subject_1,Musiker,_mp_1.0,1
Subject_1,Musiker,_mp_1.5,1
Subject_1,Musiker,_mp_2.0,0
Subject_1,Vergessen,_mp_1.0,1
Subject_1,Vergessen,_mp_1.5,1
Subject_1,Vergessen,_mp_2.0,0
Subject_1,Zigarre,_mp_1.0,0
Subject_1,Zigarre,_mp_1.5,1
Subject_1,Zigarre,_mp_2.0,0
Subject_1,Aber sehen will sie ihn doch,_mp_1.0,1
Subject_1,Aber sehen will sie ihn doch,_mp_1.5,1
Subject_1,Aber sehen will sie ihn doch,_mp_2.0,1
Subject_1,Er sah viele bunte Regenbogen,_mp_1.0,0
Subject_1,Er sah viele bunte Regenbogen,_mp_1.5,1
Subject_1,Er sah viele bunte Regenbogen,_mp_2.0,1
Subject_1,Chabos wissen wer der Babo ist,_mp_1.0,0
Subject_1,Chabos wissen wer der Babo ist,_mp_1.5,1
Subject_1,Chabos wissen wer der Babo ist,_mp_2.0,0
Subject_1,Das Telefon ist seit sieben Tagen kaputt,_mp_1.0,0
Subject_1,Das Telefon ist seit sieben Tagen kaputt,_mp_1.5,0
Subject_1,Das Telefon ist seit sieben Tagen kaputt,_mp_2.0,0
Subject_1,Die Artikel waren wieder vorraetig,_mp_1.0,0
Subject_1,Die Artikel waren wieder vorraetig,_mp_1.5,1
Subject_1,Die Artikel waren wieder vorraetig,_mp_2.0,1
Subject_1,Die Sosse ist viermal uebergekocht,_mp_1.0,1
Subject_1,Die Sosse ist viermal uebergekocht,_mp_1.5,1
Subject_1,Die Sosse ist viermal uebergekocht,_mp_2.0,0
Subject_1,Die Strassenbahn fuhr weiter geradeaus,_mp_1.0,1
Subject_1,Die Strassenbahn fuhr weiter geradeaus,_mp_1.5,0
Subject_1,Die Strassenbahn fuhr weiter geradeaus,_mp_2.0,0
Subject_1,Diese Zeitung ist bereits veraltet,_mp_1.0,1
Subject_1,Diese Zeitung ist bereits veraltet,_mp_1.5,1
Subject_1,Diese Zeitung ist bereits veraltet,_mp_2.0,1
Subject_1,Sie faehrt keinen Ferrari sondern einen Maserati,_mp_1.0,0
Subject_1,Sie faehrt keinen Ferrari sondern einen Maserati,_mp_1.5,0
Subject_1,Sie faehrt keinen Ferrari sondern einen Maserati,_mp_2.0,1
Subject_1,Benno gefaellt die orange Vase,_mp_1.0,1
Subject_1,Benno gefaellt die orange Vase,_mp_1.5,0
Subject_1,Benno gefaellt die orange Vase,_mp_2.0,0
Subject_10,Badetag,_mp_1.0,0
Subject_10,Badetag,_mp_1.5,1
Subject_10,Badetag,_mp_2.0,1
Subject_10,Bewirken,_mp_1.0,0
Subject_10,Bewirken,_mp_1.5,1
Subject_10,Bewirken,_mp_2.0,1
Subject_10,Butterweich,_mp_1.0,0
Subject_10,Butterweich,_mp_1.5,1
Subject_10,Butterweich,_mp_2.0,1
Subject_10,Giraffe,_mp_1.0,1
Subject_10,Giraffe,_mp_1.5,1
Subject_10,Giraffe,_mp_2.0,0
Subject_10,Kakadu,_mp_1.0,0
Subject_10,Kakadu,_mp_1.5,1
Subject_10,Kakadu,_mp_2.0,1
Subject_10,Karotte,_mp_1.0,1
Subject_10,Karotte,_mp_1.5,1
Subject_10,Karotte,_mp_2.0,1
Subject_10,Kassette,_mp_1.0,1
Subject_10,Kassette,_mp_1.5,1
Subject_10,Kassette,_mp_2.0,0
Subject_10,Musiker,_mp_1.0,1
Subject_10,Musiker,_mp_1.5,0
Subject_10,Musiker,_mp_2.0,1
Subject_10,Vergessen,_mp_1.0,1
Subject_10,Vergessen,_mp_1.5,0
Subject_10,Vergessen,_mp_2.0,1
Subject_10,Zigarre,_mp_1.0,1
Subject_10,Zigarre,_mp_1.5,0
Subject_10,Zigarre,_mp_2.0,1
Subject_10,Aber sehen will sie ihn doch,_mp_1.0,1
Subject_10,Aber sehen will sie ihn doch,_mp_1.5,1
Subject_10,Aber sehen will sie ihn doch,_mp_2.0,1
Subject_10,Er sah viele bunte Regenbogen,_mp_1.0,1
Subject_10,Er sah viele bunte Regenbogen,_mp_1.5,1
Subject_10,Er sah viele bunte Regenbogen,_mp_2.0,1
Subject_10,Chabos wissen wer der Babo ist,_mp_1.0,1
Subject_10,Chabos wissen wer der Babo ist,_mp_1.5,0
Subject_10,Chabos wissen wer der Babo ist,_mp_2.0,1
Subject_10,Das Telefon ist seit sieben Tagen kaputt,_mp_1.0,0
Subject_10,Das Telefon ist seit sieben Tagen kaputt,_mp_1.5,0
Subject_10,Das Telefon ist seit sieben Tagen kaputt,_mp_2.0,1
Subject_10,Die Artikel waren wieder vorraetig,_mp_1.0,1
Subject_10,Die Artikel waren wieder vorraetig,_mp_1.5,1
Subject_10,Die Artikel waren wieder vorraetig,_mp_2.0,0
Subject_10,Die Sosse ist viermal uebergekocht,_mp_1.0,0
Subject_10,Die Sosse ist viermal uebergekocht,_mp_1.5,0
Subject_10,Die Sosse ist viermal uebergekocht,_mp_2.0,1
Subject_10,Die Strassenbahn fuhr weiter geradeaus,_mp_1.0,0
Subject_10,Die Strassenbahn fuhr weiter geradeaus,_mp_1.5,1
Subject_10,Die Strassenbahn fuhr weiter geradeaus,_mp_2.0,1
Subject_10,Diese Zeitung ist bereits veraltet,_mp_1.0,1
Subject_10,Diese Zeitung ist bereits veraltet,_mp_1.5,1
Subject_10,Diese Zeitung ist bereits veraltet,_mp_2.0,0
Subject_10,Sie faehrt keinen Ferrari sondern einen Maserati,_mp_1.0,1
Subject_10,Sie faehrt keinen Ferrari sondern einen Maserati,_mp_1.5,0
Subject_10,Sie faehrt keinen Ferrari sondern einen Maserati,_mp_2.0,0
Subject_10,Benno gefaellt die orange Vase,_mp_1.0,1
Subject_10,Benno gefaellt die orange Vase,_mp_1.5,1
Subject_10,Benno gefaellt die orange Vase,_mp_2.0,1
Subject_11,Badetag,_mp_1.0,0
Subject_11,Badetag,_mp_1.5,1
Subject_11,Badetag,_mp_2.0,0
Subject_11,Bewirken,_mp_1.0,0
Subject_11,Bewirken,_mp_1.5,0
Subject_11,Bewirken,_mp_2.0,0
Subject_11,Butterweich,_mp_1.0,1
Subject_11,Butterweich,_mp_1.5,1
Subject_11,Butterweich,_mp_2.0,0
Subject_11,Giraffe,_mp_1.0,0
Subject_11,Giraffe,_mp_1.5,1
Subject_11,Giraffe,_mp_2.0,0
Subject_11,Kakadu,_mp_1.0,1
Subject_11,Kakadu,_mp_1.5,1
Subject_11,Kakadu,_mp_2.0,1
Subject_11,Karotte,_mp_1.0,1
Subject_11,Karotte,_mp_1.5,1
Subject_11,Karotte,_mp_2.0,0
Subject_11,Kassette,_mp_1.0,1
Subject_11,Kassette,_mp_1.5,0
Subject_11,Kassette,_mp_2.0,0
Subject_11,Musiker,_mp_1.0,1
Subject_11,Musiker,_mp_1.5,1
Subject_11,Musiker,_mp_2.0,0
Subject_11,Vergessen,_mp_1.0,0
Subject_11,Vergessen,_mp_1.5,0
Subject_11,Vergessen,_mp_2.0,0
Subject_11,Zigarre,_mp_1.0,1
Subject_11,Zigarre,_mp_1.5,1
Subject_11,Zigarre,_mp_2.0,0
Subject_11,Aber sehen will sie ihn doch,_mp_1.0,0
Subject_11,Aber sehen will sie ihn doch,_mp_1.5,1
Subject_11,Aber sehen will sie ihn doch,_mp_2.0,0
Subject_11,Er sah viele bunte Regenbogen,_mp_1.0,0
Subject_11,Er sah viele bunte Regenbogen,_mp_1.5,1
Subject_11,Er sah viele bunte Regenbogen,_mp_2.0,0
Subject_11,Chabos wissen wer der Babo ist,_mp_1.0,0
Subject_11,Chabos wissen wer der Babo ist,_mp_1.5,1
Subject_11,Chabos wissen wer der Babo ist,_mp_2.0,1
Subject_11,Das Telefon ist seit sieben Tagen kaputt,_mp_1.0,0
Subject_11,Das Telefon ist seit sieben Tagen kaputt,_mp_1.5,1
Subject_11,Das Telefon ist seit sieben Tagen kaputt,_mp_2.0,1
Subject_11,Die Artikel waren wieder vorraetig,_mp_1.0,0
Subject_11,Die Artikel waren wieder vorraetig,_mp_1.5,0
Subject_11,Die Artikel waren wieder vorraetig,_mp_2.0,0
Subject_11,Die Sosse ist viermal uebergekocht,_mp_1.0,0
Subject_11,Die Sosse ist viermal uebergekocht,_mp_1.5,1
Subject_11,Die Sosse ist viermal uebergekocht,_mp_2.0,1
Subject_11,Die Strassenbahn fuhr weiter geradeaus,_mp_1.0,1
Subject_11,Die Strassenbahn fuhr weiter geradeaus,_mp_1.5,1
Subject_11,Die Strassenbahn fuhr weiter geradeaus,_mp_2.0,0
Subject_11,Diese Zeitung ist bereits veraltet,_mp_1.0,0
Subject_11,Diese Zeitung ist bereits veraltet,_mp_1.5,1
Subject_11,Diese Zeitung ist bereits veraltet,_mp_2.0,1
Subject_11,Sie faehrt keinen Ferrari sondern einen Maserati,_mp_1.0,1
Subject_11,Sie faehrt keinen Ferrari sondern einen Maserati,_mp_1.5,1
Subject_11,Sie faehrt keinen Ferrari sondern einen Maserati,_mp_2.0,0
Subject_11,Benno gefaellt die orange Vase,_mp_1.0,1
Subject_11,Benno gefaellt die orange Vase,_mp_1.5,0
Subject_11,Benno gefaellt die orange Vase,_mp_2.0,1
Subject_12,Badetag,_mp_1.0,1
Subject_12,Badetag,_mp_1.5,0
Subject_12,Badetag,_mp_2.0,1
Subject_12,Bewirken,_mp_1.0,1
Subject_12,Bewirken,_mp_1.5,0
Subject_12,Bewirken,_mp_2.0,1
Subject_12,Butterweich,_mp_1.0,1
Subject_12,Butterweich,_mp_1.5,0
Subject_12,Butterweich,_mp_2.0,0
Subject_12,Giraffe,_mp_1.0,0
Subject_12,Giraffe,_mp_1.5,1
Subject_12,Giraffe,_mp_2.0,1
Subject_12,Kakadu,_mp_1.0,1
Subject_12,Kakadu,_mp_1.5,0
Subject_12,Kakadu,_mp_2.0,1
Subject_12,Karotte,_mp_1.0,1
Subject_12,Karotte,_mp_1.5,0
Subject_12,Karotte,_mp_2.0,1
Subject_12,Kassette,_mp_1.0,0
Subject_12,Kassette,_mp_1.5,1
Subject_12,Kassette,_mp_2.0,1
Subject_12,Musiker,_mp_1.0,0
Subject_12,Musiker,_mp_1.5,0
Subject_12,Musiker,_mp_2.0,1
Subject_12,Vergessen,_mp_1.0,0
Subject_12,Vergessen,_mp_1.5,0
Subject_12,Vergessen,_mp_2.0,0
Subject_12,Zigarre,_mp_1.0,1
Subject_12,Zigarre,_mp_1.5,0
Subject_12,Zigarre,_mp_2.0,0
Subject_12,Aber sehen will sie ihn doch,_mp_1.0,0
Subject_12,Aber sehen will sie ihn doch,_mp_1.5,1
Subject_12,Aber sehen will sie ihn doch,_mp_2.0,0
Subject_12,Er sah viele bunte Regenbogen,_mp_1.0,0
Subject_12,Er sah viele bunte Regenbogen,_mp_1.5,1
Subject_12,Er sah viele bunte Regenbogen,_mp_2.0,0
Subject_12,Chabos wissen wer der Babo ist,_mp_1.0,1
Subject_12,Chabos wissen wer der Babo ist,_mp_1.5,1
Subject_12,Chabos wissen wer der Babo ist,_mp_2.0,0
Subject_12,Das Telefon ist seit sieben Tagen kaputt,_mp_1.0,1
Subject_12,Das Telefon ist seit sieben Tagen kaputt,_mp_1.5,0
Subject_12,Das Telefon ist seit sieben Tagen kaputt,_mp_2.0,0
Subject_12,Die Artikel waren wieder vorraetig,_mp_1.0,0
Subject_12,Die Artikel waren wieder vorraetig,_mp_1.5,0
Subject_12,Die Artikel waren wieder vorraetig,_mp_2.0,1
Subject_12,Die Sosse ist viermal uebergekocht,_mp_1.0,1
Subject_12,Die Sosse ist viermal uebergekocht,_mp_1.5,1
Subject_12,Die Sosse ist viermal uebergekocht,_mp_2.0,1
Subject_12,Die Strassenbahn fuhr weiter geradeaus,_mp_1.0,1
Subject_12,Die Strassenbahn fuhr weiter geradeaus,_mp_1.5,1
Subject_12,Die Strassenbahn fuhr weiter geradeaus,_mp_2.0,0
Subject_12,Diese Zeitung ist bereits veraltet,_mp_1.0,0
Subject_12,Diese Zeitung ist bereits veraltet,_mp_1.5,0
Subject_12,Diese Zeitung ist bereits veraltet,_mp_2.0,0
Subject_12,Sie faehrt keinen Ferrari sondern einen Maserati,_mp_1.0,0
Subject_12,Sie faehrt keinen Ferrari sondern einen Maserati,_mp_1.5,1
Subject_12,Sie faehrt keinen Ferrari sondern einen Maserati,_mp_2.0,0
Subject_12,Benno gefaellt die orange Vase,_mp_1.0,1
Subject_12,Benno gefaellt die orange Vase,_mp_1.5,0
Subject_12,Benno gefaellt die orange Vase,_mp_2.0,0
Subject_13,Badetag,_mp_1.0,1
Subject_13,Badetag,_mp_1.5,0
Subject_13,Badetag,_mp_2.0,0
Subject_13,Bewirken,_mp_1.0,0
Subject_13,Bewirken,_mp_1.5,0
Subject_13,Bewirken,_mp_2.0,0
Subject_13,Butterweich,_mp_1.0,1
Subject_13,Butterweich,_mp_1.5,0
Subject_13,Butterweich,_mp_2.0,1
Subject_13,Giraffe,_mp_1.0,0
Subject_13,Giraffe,_mp_1.5,1
Subject_13,Giraffe,_mp_2.0,1
Subject_13,Kakadu,_mp_1.0,1
Subject_13,Kakadu,_mp_1.5,1
Subject_13,Kakadu,_mp_2.0,1
Subject_13,Karotte,_mp_1.0,0
Subject_13,Karotte,_mp_1.5,0
Subject_13,Karotte,_mp_2.0,1
Subject_13,Kassette,_mp_1.0,0
Subject_13,Kassette,_mp_1.5,0
Subject_13,Kassette,_mp_2.0,0
Subject_13,Musiker,_mp_1.0,0
Subject_13,Musiker,_mp_1.5,0
Subject_13,Musiker,_mp_2.0,1
Subject_13,Vergessen,_mp_1.0,1
Subject_13,Vergessen,_mp_1.5,0
Subject_13,Vergessen,_mp_2.0,0
Subject_13,Zigarre,_mp_1.0,0
Subject_13,Zigarre,_mp_1.5,0
Subject_13,Zigarre,_mp_2.0,1
